"timeStamp","posterID","name","postID","subjectText","commentText","filename"
"08/07/18(Tue)05:49:15","No ID","Anonymous","102117065","But where&#039;s the proof?","Give me as hard as evidence as you can that she willingly fucked her way to the top. <br><br>Or is it all just bro-science?<br><br>I refuse to accept that Hollywood runs this way. It just can&#039;t be true..","jwlaw - 1533635355612.jpg"
"08/07/18(Tue)05:57:35","No ID","Anonymous","102117241","No Subject Text Provided","<a href=""#p102117065"" class=""quotelink"">&gt;&gt;102117065</a><br>That&#039;s what I thought.<br><br>Just more scapegoating, as usual.","No File Posted"
"08/07/18(Tue)06:28:29","No ID","Anonymous","102117924","No Subject Text Provided","<a href=""#p102117241"" class=""quotelink"">&gt;&gt;102117241</a><br>Prove she didn&#039;t","No File Posted"
"08/07/18(Tue)06:31:25","No ID","Anonymous","102117999","No Subject Text Provided","<a href=""#p102117065"" class=""quotelink"">&gt;&gt;102117065</a><br>Why? If I was a fat jew, I&#039;d do the same thing. Everyone wins","No File Posted"
"08/07/18(Tue)06:36:32","No ID","Anonymous","102118112","No Subject Text Provided","<a href=""#p102117065"" class=""quotelink"">&gt;&gt;102117065</a><br><span class=""quote"">&gt;Give me as hard as evidence as you can that she willingly fucked her way to the top.</span><br>her skills as an actress","No File Posted"
"08/07/18(Tue)06:38:12","No ID","Anonymous","102118151","No Subject Text Provided","<a href=""#p102117065"" class=""quotelink"">&gt;&gt;102117065</a><br>Who&#039;s the jew on the right?","No File Posted"
"08/07/18(Tue)06:45:55","No ID","Anonymous","102118322","No Subject Text Provided","<a href=""#p102118112"" class=""quotelink"">&gt;&gt;102118112</a><br>She won a fucking oscar you moron","No File Posted"
"08/07/18(Tue)06:49:17","No ID","Anonymous","102118399","No Subject Text Provided","<a href=""#p102117065"" class=""quotelink"">&gt;&gt;102117065</a><br>The sheer amount of nudes that were leaked. Other actresses had 4 or 5 tops, the kind of photos a woman might take of herself for herself or maybe the right guy.<br><br>JLaw literally has other people taking some of the shots, and there are dozens from all throughout her career. I refuse to believe she took them all just for Beast from the X:Men reboot.<br><br>The fact that he career has completely stalled immediately after Weinstein went down only serves to increase the likelihood that some or all of them were for him.","No File Posted"
"08/07/18(Tue)06:52:24","No ID","Anonymous","102118472","No Subject Text Provided","What&#039;s so hard to believe about it? There&#039;s a billion naive skanks wanting to make it big in hollywood and most of them are willing to do almost anything to gain it. These pervets have the power to make it happen so they can ask for quite the dirty favours. <br><br>Like in any business, contacts and relationships are a key point. These skanks aren&#039;t hired for their acting abilities and most of these young pretty faces completely fade away as soon as they hit 30. They gain contacts by whoring themselves around and in order to continue doing so, the jew moguls will throw a movie role or two her way. If she&#039;s lucky, she&#039;ll become a fan favourite and she might get hired without having to whore themselves anymore.","No File Posted"
"08/07/18(Tue)06:55:51","No ID","Anonymous","102118565","No Subject Text Provided","<a href=""#p102118112"" class=""quotelink"">&gt;&gt;102118112</a><br>I hate that cunt but she&#039;s actually a decent actress","No File Posted"
"08/07/18(Tue)06:59:40","No ID","Anonymous","102118648","No Subject Text Provided","bro i&#039;d take the piccolo challenge if i were guaranteed millions of dollars","No File Posted"
"08/07/18(Tue)07:06:19","No ID","Anonymous","102118808","No Subject Text Provided","<a href=""#p102118399"" class=""quotelink"">&gt;&gt;102118399</a><br>I imagine he&#039;s probably got tons more that he personally took himself.","No File Posted"
"08/07/18(Tue)07:09:35","No ID","Anonymous","102118894","No Subject Text Provided","<a href=""#p102118322"" class=""quotelink"">&gt;&gt;102118322</a><br>That just makes me more suspicious desu.","No File Posted"
"08/07/18(Tue)07:16:39","No ID","Anonymous","102119089","No Subject Text Provided","<a href=""#p102118322"" class=""quotelink"">&gt;&gt;102118322</a><br>In a movie produced by Weinstein. Do you know how Oscar campaigns work? He basically bought it for her.","No File Posted"
"08/07/18(Tue)07:35:55","No ID","Anonymous","102119637","No Subject Text Provided","<a href=""#p102117241"" class=""quotelink"">&gt;&gt;102117241</a><br><span class=""quote"">&gt;its true as far as it can bring down fucking a white male, but not so true it can defame a woman.</span><br><br><a href=""#p102118808"" class=""quotelink"">&gt;&gt;102118808</a><br>Rumor has it that the fappening happened because he lost a single phone.","No File Posted"
"08/07/18(Tue)07:36:42","No ID","Anonymous","102119652","No Subject Text Provided","<a href=""#p102117241"" class=""quotelink"">&gt;&gt;102117241</a><br><a href=""#p102118399"" class=""quotelink"">&gt;&gt;102118399</a>","No File Posted"
"08/07/18(Tue)07:37:32","No ID","Anonymous","102119672","No Subject Text Provided","<a href=""#p102118322"" class=""quotelink"">&gt;&gt;102118322</a><br><span class=""quote"">&gt;Being that naive</span>","No File Posted"
"08/07/18(Tue)07:38:27","No ID","Anonymous","102119702","No Subject Text Provided","<a href=""#p102118322"" class=""quotelink"">&gt;&gt;102118322</a>","1340691463831 - 1533641907732.jpg"
"08/07/18(Tue)08:40:29","No ID","Anonymous","102121194","No Subject Text Provided","<a href=""#p102117065"" class=""quotelink"">&gt;&gt;102117065</a><br><span class=""quote"">&gt;I refuse to accept that Hollywood runs this way. It just can&#039;t be true..</span><br>Hollywood has always worked this way. <br>https://www.vanityfair.com/news/200<wbr>3/04/mgm200304<br>http://www.dailymail.co.uk/tvshowbi<wbr>z/article-4999372/Sean-Young-says-B<wbr>arbra-Streisand-shamed-sex-harassme<wbr>nt.html","No File Posted"
"08/07/18(Tue)08:45:34","No ID","Anonymous","102121325","No Subject Text Provided","<a href=""#p102119089"" class=""quotelink"">&gt;&gt;102119089</a><br>He bribed several hundred academy members?","No File Posted"
"08/07/18(Tue)08:48:01","No ID","Anonymous","102121379","No Subject Text Provided","<a href=""#p102119702"" class=""quotelink"">&gt;&gt;102119702</a><br>this kid is about to inflict some serious punishment on his junk","1507437889623 - 1533646081279.png"
"08/07/18(Tue)08:56:44","No ID","Anonymous","102121558","No Subject Text Provided","<a href=""#p102121325"" class=""quotelink"">&gt;&gt;102121325</a><br>he didn&#039;t need to, he was the head of the one of the biggest production companies in the world...","No File Posted"
