"timeStamp","posterID","name","postID","subjectText","commentText","filename"
"08/07/18(Tue)07:16:29","No ID","Anonymous","102119086","Ocean animals","How come there aren&#039;t more movies about whales?","_80644185_whalesize - 1533640589068.jpg"
"08/07/18(Tue)07:56:55","No ID","Anonymous","102120152","No Subject Text Provided","How come sharks get all the attention","6a0120a7fc3be9970b01b8d15c2d9c970c - 1533643015145.jpg"
"08/07/18(Tue)07:58:01","No ID","Anonymous","102120186","No Subject Text Provided","<a href=""#p102119086"" class=""quotelink"">&gt;&gt;102119086</a><br><a href=""#p102120152"" class=""quotelink"">&gt;&gt;102120152</a><br>Whales are boring","No File Posted"
"08/07/18(Tue)07:59:35","No ID","Anonymous","102120229","No Subject Text Provided","<a href=""#p102120186"" class=""quotelink"">&gt;&gt;102120186</a><br>ur fuckin face is boring","No File Posted"
"08/07/18(Tue)08:01:59","No ID","Anonymous","102120281","No Subject Text Provided","the blue whale isn&#039;t really all that big. kind of disappointing","No File Posted"
"08/07/18(Tue)08:03:03","No ID","Anonymous","102120306","No Subject Text Provided","<a href=""#p102120186"" class=""quotelink"">&gt;&gt;102120186</a><br><br>What the fuck did you just say","No File Posted"
"08/07/18(Tue)08:07:04","No ID","Anonymous","102120393","No Subject Text Provided","I&#039;m scared shitless of whales, so I&#039;m ok with no films made about them.","No File Posted"
"08/07/18(Tue)09:04:34","No ID","Anonymous","102121700","No Subject Text Provided","<a href=""#p102120186"" class=""quotelink"">&gt;&gt;102120186</a><br><br>A whale would 100% fuck you up","No File Posted"
"08/07/18(Tue)09:05:38","No ID","Anonymous","102121723","No Subject Text Provided","<a href=""#p102120281"" class=""quotelink"">&gt;&gt;102120281</a><br>it&#039;s the biggest animal to ever exist.","No File Posted"
"08/07/18(Tue)09:06:44","No ID","Anonymous","102121742","No Subject Text Provided","<a href=""#p102119086"" class=""quotelink"">&gt;&gt;102119086</a><br>Because your mother just isn&#039;t that interesting.","No File Posted"
"08/07/18(Tue)09:09:04","No ID","Anonymous","102121790","No Subject Text Provided","The final word on whales was written over a 150 years ago.","18496658443 - 1533647344898.jpg"
"08/07/18(Tue)09:10:17","No ID","Anonymous","102121820","No Subject Text Provided","<a href=""#p102119086"" class=""quotelink"">&gt;&gt;102119086</a><br>Orca<br>https://www.youtube.com/watch?v=IvL<wbr>7Lx_NORo","51YQI5o6hcL - 1533647417300.jpg"
"08/07/18(Tue)09:11:06","No ID","Anonymous","102121838","No Subject Text Provided","<a href=""#p102121790"" class=""quotelink"">&gt;&gt;102121790</a><br>I love this book and the 1956 movie is a fucking masterpiece (but to be fair also the 2000 something tv miniseries was pretty good, I reackon Ethan Hawke was in it but I&#039;m not sure)","No File Posted"
