"timeStamp","posterID","name","postID","subjectText","commentText","filename"
"08/07/18(Tue)08:33:54","No ID","Anonymous","102121020","No Subject Text Provided","BUT HOW CAN HE SNAP!? HOW CAN HE DO IT!?","snap - 1533645234318.png"
"08/07/18(Tue)08:37:00","No ID","Anonymous","102121102","No Subject Text Provided","<a href=""#p102121020"" class=""quotelink"">&gt;&gt;102121020</a><br>Like this.","1524851908346 - 1533645420465.png"
"08/07/18(Tue)08:39:41","No ID","Anonymous","102121174","No Subject Text Provided","<a href=""#p102121020"" class=""quotelink"">&gt;&gt;102121020</a><br>*SNAP*<br>Yup, this goes into my genocide folder","No File Posted"
"08/07/18(Tue)08:42:47","No ID","Anonymous","102121244","No Subject Text Provided","He uses space and time fingers for snap. Snap teleported people in random locations and random eras.","No File Posted"
"08/07/18(Tue)08:44:19","No ID","Anonymous","102121288","No Subject Text Provided","<a href=""#p102121020"" class=""quotelink"">&gt;&gt;102121020</a><br>Reality stone","No File Posted"
"08/07/18(Tue)08:45:30","No ID","Anonymous","102121322","No Subject Text Provided","Reality stone changed the physics of finger snapping to make it possible","No File Posted"
"08/07/18(Tue)08:49:12","No ID","Anonymous","102121406","No Subject Text Provided","<a href=""#p102121020"" class=""quotelink"">&gt;&gt;102121020</a><br>you made this thread yesterday morning. i know because i haven&#039;t slept since saturday","No File Posted"
"08/07/18(Tue)08:50:20","No ID","Anonymous","102121427","No Subject Text Provided","<a href=""#p102121102"" class=""quotelink"">&gt;&gt;102121102</a><br>Than you Daddy Snaps.","No File Posted"
"08/07/18(Tue)08:50:41","No ID","Anonymous","102121432","No Subject Text Provided","<a href=""#p102121020"" class=""quotelink"">&gt;&gt;102121020</a><br>Considering he’s the closest thing to God at that point, very easily","No File Posted"
"08/07/18(Tue)08:50:43","No ID","Anonymous","102121434","No Subject Text Provided","<a href=""#p102121406"" class=""quotelink"">&gt;&gt;102121406</a><br>/tv/ needs some new shitposting blood.","No File Posted"
"08/07/18(Tue)08:51:22","No ID","Anonymous","102121445","No Subject Text Provided","<a href=""#p102121427"" class=""quotelink"">&gt;&gt;102121427</a><br>Fuck.","No File Posted"
"08/07/18(Tue)08:51:44","No ID","Anonymous","102121455","No Subject Text Provided","<a href=""#p102121102"" class=""quotelink"">&gt;&gt;102121102</a><br>Thank you Daddy Snaps","No File Posted"
"08/07/18(Tue)08:52:12","No ID","Anonymous","102121462","No Subject Text Provided","<a href=""#p102121102"" class=""quotelink"">&gt;&gt;102121102</a><br>Thank you Daddy Snaps","Pepos - 1533646332032.jpg"
"08/07/18(Tue)09:00:45","No ID","Anonymous","102121624","No Subject Text Provided","<a href=""#p102121102"" class=""quotelink"">&gt;&gt;102121102</a><br>erase me daddy","No File Posted"
"08/07/18(Tue)09:01:42","No ID","Anonymous","102121652","No Subject Text Provided","<a href=""#p102121102"" class=""quotelink"">&gt;&gt;102121102</a><br>Thank you Daddy Snaps","No File Posted"
"08/07/18(Tue)09:03:57","No ID","Anonymous","102121688","No Subject Text Provided","No Comment Text Provided","doctor-i-have-to-inform-you-theres-only-a-50-chance-of-surviving-this-procedure-kid-lets-do-it-twice-then-COqTg - 1533647037718.jpg"
"08/07/18(Tue)09:04:15","No ID","Anonymous","102121692","No Subject Text Provided","<a href=""#p102121102"" class=""quotelink"">&gt;&gt;102121102</a><br>Thank you Daddy Snaps.","No File Posted"
"08/07/18(Tue)09:05:23","No ID","Anonymous","102121718","No Subject Text Provided","<a href=""#p102121020"" class=""quotelink"">&gt;&gt;102121020</a><br>You know how the VW GTI has that speaker that makes it sound like it has a bigger engine than it does?<br><br>Kind of like that","Screen Shot 2018-08-01 at 8.48.50 AM - 1533647123450.png"
"08/07/18(Tue)09:08:00","No ID","Anonymous","102121768","No Subject Text Provided","<a href=""#p102121102"" class=""quotelink"">&gt;&gt;102121102</a><br><br>Thank you Daddy Snaps","1300113290018 - 1533647280588.jpg"
"08/07/18(Tue)09:08:56","No ID","Anonymous","102121786","No Subject Text Provided","<a href=""#p102121427"" class=""quotelink"">&gt;&gt;102121427</a><br><a href=""#p102121455"" class=""quotelink"">&gt;&gt;102121455</a><br>good riddance","No File Posted"
"08/07/18(Tue)09:09:21","No ID","Anonymous","102121798","No Subject Text Provided","<span class=""quote"">&gt;thumb under the index finger snap is more patrician than the thumb and middle finger snap</span><br><br>PROVE ME WRONG PLEBEIANS","No File Posted"
"08/07/18(Tue)09:11:32","No ID","Anonymous","102121847","No Subject Text Provided","<a href=""#p102121102"" class=""quotelink"">&gt;&gt;102121102</a><br>Thank you Daddy Snaps","No File Posted"
"08/07/18(Tue)09:11:58","No ID","Anonymous","102121857","No Subject Text Provided","<a href=""#p102121102"" class=""quotelink"">&gt;&gt;102121102</a><br>Thank you Daddy Snaps","No File Posted"
"08/07/18(Tue)09:12:58","No ID","Anonymous","102121879","No Subject Text Provided","<a href=""#p102121020"" class=""quotelink"">&gt;&gt;102121020</a><br>It would be impossible to snap your fingers with a gauntlet on. It wouldn&#039;t make a snapping sound","No File Posted"
"08/07/18(Tue)09:14:43","No ID","Anonymous","102121924","No Subject Text Provided","what a shit movie<br>too much shit crammed into not enough time","No File Posted"
"08/07/18(Tue)09:15:29","No ID","Anonymous","102121940","No Subject Text Provided","<a href=""#p102121798"" class=""quotelink"">&gt;&gt;102121798</a><br><br>You mean ring finger? How the shit do you snap with the index the angle is all weird","No File Posted"
"08/07/18(Tue)09:17:02","No ID","Anonymous","102121964","No Subject Text Provided","<a href=""#p102121020"" class=""quotelink"">&gt;&gt;102121020</a><br>It&#039;s a simple calculus,little one. The universe is finite, NIGGERS are finite. I subtract the resources and the afronegroes extinct. And the fact that I will be able to do that with the snap of my fingers, I consider that...mercy.","No File Posted"
"08/07/18(Tue)09:23:43","No ID","Anonymous","102122114","No Subject Text Provided","<a href=""#p102121102"" class=""quotelink"">&gt;&gt;102121102</a><br>Thank you Daddy Snaps","No File Posted"
"08/07/18(Tue)09:27:41","No ID","Anonymous","102122224","No Subject Text Provided","<a href=""#p102121102"" class=""quotelink"">&gt;&gt;102121102</a><br>Thank you Daddy Snaps.","No File Posted"
"08/07/18(Tue)09:28:14","No ID","Anonymous","102122237","No Subject Text Provided","<a href=""#p102121102"" class=""quotelink"">&gt;&gt;102121102</a><br>Thank you Daddy Snaps","No File Posted"
"08/07/18(Tue)09:29:15","No ID","Anonymous","102122266","No Subject Text Provided","<a href=""#p102122237"" class=""quotelink"">&gt;&gt;102122237</a><br>uhhh, Mr clean, I don&#039;t feel so good-....","No File Posted"
"08/07/18(Tue)09:30:56","No ID","Anonymous","102122311","No Subject Text Provided","<a href=""#p102121102"" class=""quotelink"">&gt;&gt;102121102</a><br>Thank you Daddy Snaps","No File Posted"
"08/07/18(Tue)09:31:01","No ID","Anonymous","102122315","No Subject Text Provided","<a href=""#p102121102"" class=""quotelink"">&gt;&gt;102121102</a><br>Thank you Daddy Snaps","No File Posted"
"08/07/18(Tue)09:31:22","No ID","Anonymous","102122331","No Subject Text Provided","based<br>this whole thread is going in my based-god-villain-kills-half-of-pop<wbr>ulation-by-snapping compilation","No File Posted"
"08/07/18(Tue)09:36:13","No ID","Anonymous","102122443","No Subject Text Provided","<span class=""quote"">&gt;No one here gets the joke with the Poo in the loo tv show</span><br>Why even live","No File Posted"
"08/07/18(Tue)09:37:32","No ID","Anonymous","102122481","No Subject Text Provided","<a href=""#p102122443"" class=""quotelink"">&gt;&gt;102122443</a><br>There we go. Took like 30 posts.","No File Posted"
"08/07/18(Tue)09:37:38","No ID","Anonymous","102122483","No Subject Text Provided","<a href=""#p102121102"" class=""quotelink"">&gt;&gt;102121102</a><br>Thank you Daddy Snaps","No File Posted"
"08/07/18(Tue)09:39:44","No ID","Anonymous","102122525","No Subject Text Provided","<a href=""#p102122483"" class=""quotelink"">&gt;&gt;102122483</a><br>Posting this here so we can actually have a convo on the meme the Op is trying to emulate<br>https://www.youtube.com/watch?v=V4a<wbr>kMaeZ0-k","No File Posted"
"08/07/18(Tue)09:40:44","No ID","Anonymous","102122554","No Subject Text Provided","<a href=""#p102121102"" class=""quotelink"">&gt;&gt;102121102</a><br>thank you daddy snaps","No File Posted"
