"timeStamp","posterID","name","postID","subjectText","commentText","filename"
"08/07/18(Tue)09:30:28","No ID","Anonymous","102122302","No Subject Text Provided","<span class=""quote"">&gt;so when somebody tells me to “stop being so sensitive”</span><br><span class=""quote"">&gt;I feel a little bit like a nose</span><br><span class=""quote"">&gt;being lectured by a fart</span>","2C79AFB9-B4C4-4544-816D-CFCCD38029B1 - 1533648628443.png"
"08/07/18(Tue)09:32:42","No ID","Anonymous","102122351","No Subject Text Provided","This dude&#039;s joke is not funny. Am I subverted yet?","No File Posted"
"08/07/18(Tue)09:32:53","No ID","Anonymous","102122357","No Subject Text Provided","BRAAAAAAP","No File Posted"
"08/07/18(Tue)09:35:03","No ID","Anonymous","102122409","No Subject Text Provided","Seethe harder /pol/lack","No File Posted"
"08/07/18(Tue)09:35:09","No ID","Anonymous","102122413","No Subject Text Provided","<span class=""quote"">&gt;and that&#039;s why we banned farts in 2018</span>","No File Posted"
"08/07/18(Tue)09:38:16","No ID","Anonymous","102122492","No Subject Text Provided","<a href=""#p102122351"" class=""quotelink"">&gt;&gt;102122351</a><br><span class=""quote"">&gt;/tv/ doesn&#039;t understand that the joke are actually those that watched that show or paid for an entrance ticket</span><br>truly 4d comedy","No File Posted"
"08/07/18(Tue)09:39:22","No ID","Anonymous","102122518","No Subject Text Provided","<a href=""#p102122409"" class=""quotelink"">&gt;&gt;102122409</a><br><span class=""quote"">&gt;see you guys are mad</span><br><span class=""quote"">&gt;because you guys get mad about stupid shit just like me</span>","1533516545267 - 1533649162404.jpg"
"08/07/18(Tue)09:39:58","No ID","Anonymous","102122532","No Subject Text Provided","<span class=""quote"">&gt;WAS THAT A FUCKING LAUGH?</span><br><span class=""quote"">&gt;TURN THE LIGHTS ON</span><br><span class=""quote"">&gt;N O W</span>","157326176754 - 1533649198608.jpg"
"08/07/18(Tue)09:41:07","No ID","Anonymous","102122564","No Subject Text Provided","<a href=""#p102122518"" class=""quotelink"">&gt;&gt;102122518</a><br>let it all out","No File Posted"
"08/07/18(Tue)09:41:12","No ID","Anonymous","102122569","No Subject Text Provided","<a href=""#p102122532"" class=""quotelink"">&gt;&gt;102122532</a><br>Was the bit where she called out a heckler actually in the show? I think I missed it I was drifting in and out","No File Posted"
"08/07/18(Tue)09:41:30","No ID","Anonymous","102122581","No Subject Text Provided","<a href=""#p102122302"" class=""quotelink"">&gt;&gt;102122302</a><br><span class=""quote"">&gt;&gt;muh rapes</span><br><span class=""quote"">&gt;&gt;muh victimhooooooooooood</span><br><span class=""quote"">&gt;&gt;numale comedy</span>","No File Posted"
"08/07/18(Tue)09:41:37","No ID","Anonymous","102122585","No Subject Text Provided","What happens if you laugh at the her being raped part?. Would you be escorted out?.","1532507542653 - 1533649297320.jpg"
"08/07/18(Tue)09:41:53","No ID","Anonymous","102122599","No Subject Text Provided","<span class=""quote"">&gt;there are people who don’t think Gunn deserved to be fired for these jokes</span><br>Sickening","No File Posted"
"08/07/18(Tue)09:43:07","No ID","Anonymous","102122629","No Subject Text Provided","God what an ugly bitch.","No File Posted"
"08/07/18(Tue)09:44:01","No ID","Anonymous","102122653","No Subject Text Provided","<a href=""#p102122569"" class=""quotelink"">&gt;&gt;102122569</a><br>yeah, someone actually laughed and she called him out on it, told him this wasnt a comedy show and had him removed<br>pretty surreal desu","No File Posted"
"08/07/18(Tue)09:45:01","No ID","Anonymous","102122680","No Subject Text Provided","<a href=""#p102122599"" class=""quotelink"">&gt;&gt;102122599</a><br>It&#039;s irrelevant the content. No one should ever be fired for a joke. Ever.","No File Posted"
"08/07/18(Tue)09:47:20","No ID","Anonymous","102122736","No Subject Text Provided","<span class=""quote"">&gt;So a horse walks into a bar and the bartender goes &quot;why the long face?&quot;</span><br>audience laughs<br><span class=""quote"">&gt;I WAS RAPED</span><br><span class=""quote"">&gt;I WAS FUCKING RAPED</span>","15732617754 - 1533649640462.jpg"
"08/07/18(Tue)09:48:24","No ID","Anonymous","102122769","No Subject Text Provided","Any links to the heckler?","No File Posted"
"08/07/18(Tue)09:49:10","No ID","Anonymous","102122793","No Subject Text Provided","<a href=""#p102122585"" class=""quotelink"">&gt;&gt;102122585</a><br><a href=""#p102122532"" class=""quotelink"">&gt;&gt;102122532</a><br><a href=""#p102122302"" class=""quotelink"">&gt;&gt;102122302</a><br>Can someone tell me how this ugly mug gets (((raped))). <br><br>Like I totally get wanting to beat the shit out of this hideous lecturing dyke. I just can’t see any straight man trying to rape this blob of mayonnaise fused with a pear with the face of a 60 year old male suffering from extremely debilitating mental illness","No File Posted"
