"timeStamp","posterID","name","postID","subjectText","commentText","filename"
"08/07/18(Tue)11:54:13","No ID","Anonymous","102126503","No Subject Text Provided","Who was in the wrong here?","Tony and Noah - 1533657253758.jpg"
"08/07/18(Tue)11:54:44","No ID","Anonymous","102126517","No Subject Text Provided","<a href=""#p102126503"" class=""quotelink"">&gt;&gt;102126503</a><br><br>Meadow","No File Posted"
"08/07/18(Tue)11:55:19","No ID","Anonymous","102126532","No Subject Text Provided","<a href=""#p102126503"" class=""quotelink"">&gt;&gt;102126503</a><br>Jamal Ginsberg, the hasidic homeboy.","No File Posted"
"08/07/18(Tue)11:56:35","No ID","Anonymous","102126571","No Subject Text Provided","<a href=""#p102126517"" class=""quotelink"">&gt;&gt;102126517</a><br>This.","No File Posted"
"08/07/18(Tue)12:03:28","No ID","Anonymous","102126792","No Subject Text Provided","<span class=""quote"">&gt;TONEE DI YU BERN DOWN MUH RESTERANT?</span>","artie gun - 1533657808039.jpg"
"08/07/18(Tue)12:06:19","No ID","Anonymous","102126879","No Subject Text Provided","<a href=""#p102126503"" class=""quotelink"">&gt;&gt;102126503</a><br><br>What would your dad have done if your sister had brought home a fuckin&#039; butterhead?","No File Posted"
"08/07/18(Tue)12:06:21","No ID","Anonymous","102126881","No Subject Text Provided","<span class=""quote"">&gt;it&#039;s a Christafa freaks out about Tony treating him differently as a kid when they were alone together vs. when tony was with tony b</span><br>chrissy was such a little bitch","Screenshot_2018-08-07 Amazon com The Sopranos Season 5 Lorraine Bracco, James Gandolfini, Dominic Chianese, Michael Imperio[...] - 1533657981203.jpg"
"08/07/18(Tue)12:07:07","No ID","Anonymous","102126905","No Subject Text Provided","<a href=""#p102126792"" class=""quotelink"">&gt;&gt;102126792</a><br>WA?<br>No!","No File Posted"
"08/07/18(Tue)12:07:48","No ID","Anonymous","102126927","No Subject Text Provided","<a href=""#p102126881"" class=""quotelink"">&gt;&gt;102126881</a><br>t. Paulie Peanuts<br><br>Fuck off Paulie","No File Posted"
"08/07/18(Tue)12:08:10","No ID","Anonymous","102126937","No Subject Text Provided","<a href=""#p102126881"" class=""quotelink"">&gt;&gt;102126881</a><br><span class=""quote"">&gt;&gt;it&#039;s a Christafa freaks out about Tony treating him differently as a kid when they were alone together vs. when tony was with tony b</span><br>Oh fuck off anon.<br><br><s>That episode got to me way more than I was expecting.</s>","No File Posted"
"08/07/18(Tue)12:08:40","No ID","Anonymous","102126948","No Subject Text Provided","<a href=""#p102126503"" class=""quotelink"">&gt;&gt;102126503</a><br>the nigger jew","No File Posted"
"08/07/18(Tue)12:08:47","No ID","Anonymous","102126954","No Subject Text Provided","<a href=""#p102126503"" class=""quotelink"">&gt;&gt;102126503</a><br>tony is literally like 4 times the mass of this dweeb","No File Posted"
"08/07/18(Tue)12:11:00","No ID","Anonymous","102127018","No Subject Text Provided","<a href=""#p102126937"" class=""quotelink"">&gt;&gt;102126937</a><br>but anon, this is just a show about tits and violence and dumb mafioso, there isn&#039;t supposed to be anything to make you feel","No File Posted"
"08/07/18(Tue)12:11:40","No ID","Anonymous","102127038","No Subject Text Provided","<a href=""#p102126503"" class=""quotelink"">&gt;&gt;102126503</a><br><a href=""#p102126532"" class=""quotelink"">&gt;&gt;102126532</a><br>his hair looks like a bowl of fusili pasta","No File Posted"
