"timeStamp","posterID","name","postID","subjectText","commentText","filename"
"08/07/18(Tue)12:05:06","No ID","Anonymous","102126836","Metal Gear Solid Director Teases His Vision for the &quot;First Great Video Game Movie&quot;","https://www.youtube.com/watch?v=2pe<wbr>CZUTgD7Y&amp;feature=youtu.be","Jordan_Vogt-Roberts_by_Gage_Skidmore - 1533657906349.jpg"
"08/07/18(Tue)12:19:44","No ID","Anonymous","102127260","No Subject Text Provided","<a href=""#p102126836"" class=""quotelink"">&gt;&gt;102126836</a><br>he talks a good game, but Studios taking MSG seriously I find unlikely, what kind of budget would he even be able to work with?","No File Posted"
"08/07/18(Tue)12:21:00","No ID","Anonymous","102127293","No Subject Text Provided","<a href=""#p102127260"" class=""quotelink"">&gt;&gt;102127260</a><br>A budget worthy of Kojima","No File Posted"
"08/07/18(Tue)12:22:21","No ID","Anonymous","102127324","No Subject Text Provided","<a href=""#p102126836"" class=""quotelink"">&gt;&gt;102126836</a><br><span class=""quote"">&gt;first great video game movie</span><br><span class=""quote"">&gt;first</span><br><s> MORTAL KOMBAT </s>","No File Posted"
"08/07/18(Tue)12:23:09","No ID","Anonymous","102127350","No Subject Text Provided","<a href=""#p102126836"" class=""quotelink"">&gt;&gt;102126836</a><br>Between the meme beard and the abortion that was Kong: Skull Island I’m skeptical of this dude to say the least.","No File Posted"
"08/07/18(Tue)12:23:33","No ID","Anonymous","102127364","No Subject Text Provided","Who should they cast as Snake","No File Posted"
"08/07/18(Tue)12:23:43","No ID","Anonymous","102127366","No Subject Text Provided","<a href=""#p102126836"" class=""quotelink"">&gt;&gt;102126836</a><br><span class=""quote"">&gt;First Great Video Game Movie&quot;</span><br>Ace Attorney?","fuck - 1533659023780.png"
"08/07/18(Tue)12:24:34","No ID","Anonymous","102127394","No Subject Text Provided","<a href=""#p102126836"" class=""quotelink"">&gt;&gt;102126836</a><br>Metal Gear Solid would make for an absolute train wreck of a movie, almost all of the plot is delivered through static codec calls.","1467542702189 - 1533659074120.png"
"08/07/18(Tue)12:24:40","No ID","Anonymous","102127398","No Subject Text Provided","Oy vey snake! You need a psg1, goyim!","DNhpvp7V4AAwCEz - 1533659080988.jpg"
"08/07/18(Tue)12:25:18","No ID","Anonymous","102127423","No Subject Text Provided","<a href=""#p102127364"" class=""quotelink"">&gt;&gt;102127364</a><br>Karl Urban","0d4740a5aff27695a6e079a2f9aaa434 - 1533659118424.jpg"
"08/07/18(Tue)12:25:52","No ID","Anonymous","102127438","No Subject Text Provided","<a href=""#p102127364"" class=""quotelink"">&gt;&gt;102127364</a><br>obviously kurt","No File Posted"
"08/07/18(Tue)12:26:14","No ID","Anonymous","102127452","No Subject Text Provided","<a href=""#p102127364"" class=""quotelink"">&gt;&gt;102127364</a><br>Tom Hardy","No File Posted"
"08/07/18(Tue)12:27:05","No ID","Anonymous","102127483","No Subject Text Provided","how does kojima even feel about this? mgs is basically a movie from someone who couldn&#039;t become a filmmaker, and now hollywood is actually making a film based on it<br><br>what the fuck?","No File Posted"
"08/07/18(Tue)12:27:15","No ID","Anonymous","102127489","No Subject Text Provided","<a href=""#p102127364"" class=""quotelink"">&gt;&gt;102127364</a><br>John Boyega","No File Posted"
