"timeStamp","posterID","name","postID","subjectText","commentText","filename"
"08/07/18(Tue)12:13:31","No ID","Anonymous","102127087","No Subject Text Provided","SELENA! NO!","Screenshot 2018-08-07 at 12.02.19 PM - 1533658411486.png"
"08/07/18(Tue)12:15:17","No ID","Anonymous","102127133","No Subject Text Provided","SANDLER NO!","No File Posted"
"08/07/18(Tue)12:17:45","No ID","Anonymous","102127206","No Subject Text Provided","<a href=""#p102127087"" class=""quotelink"">&gt;&gt;102127087</a><br><span class=""quote"">&gt;extremely famous singer has to prostitute for voice acting role</span><br>Yeah, I don&#039;t believe that","No File Posted"
"08/07/18(Tue)12:18:00","No ID","Anonymous","102127212","No Subject Text Provided","Do you think they stay in character when they do it?","No File Posted"
"08/07/18(Tue)12:19:32","No ID","Anonymous","102127254","No Subject Text Provided","<a href=""#p102127212"" class=""quotelink"">&gt;&gt;102127212</a><br>Absolutely","No File Posted"
"08/07/18(Tue)12:19:49","No ID","Anonymous","102127263","No Subject Text Provided","<span class=""quote"">&gt; Sandler</span><br><span class=""quote"">&gt; A-list</span>","No File Posted"
"08/07/18(Tue)12:22:47","No ID","Anonymous","102127338","No Subject Text Provided","<a href=""#p102127206"" class=""quotelink"">&gt;&gt;102127206</a><br>Bruh this is Hotel Transylvania the no 1 franchise in the history of ever.","No File Posted"
"08/07/18(Tue)12:24:16","No ID","Anonymous","102127387","No Subject Text Provided","<a href=""#p102127206"" class=""quotelink"">&gt;&gt;102127206</a><br><span class=""quote"">&gt;Yeah, I don&#039;t believe that</span><br><br><span class=""quote"">&gt;comes calling four or five times a year.</span><br>not five times per day , yeah I don&#039;t believe this either. What kind of clout does sandler have anyway ?","No File Posted"
"08/07/18(Tue)12:27:10","No ID","Anonymous","102127486","No Subject Text Provided","<a href=""#p102127212"" class=""quotelink"">&gt;&gt;102127212</a><br><span class=""quote"">&gt;Here comes the blood sausage my little Mavy-Wavy!</span>","No File Posted"
"08/07/18(Tue)12:27:27","No ID","Anonymous","102127493","No Subject Text Provided","<a href=""#p102127087"" class=""quotelink"">&gt;&gt;102127087</a><br>Reminder that the media slanders Sandler for being Republican.","No File Posted"
