"timeStamp","posterID","name","postID","subjectText","commentText","filename"
"08/07/18(Tue)12:20:58","No ID","Anonymous","102127290","The Soyminator","How does /pol/ feel about the new Terminator movie?<br><br>So diverse! So brave!<br><br>A spic walmart employee, an androgynous LGBT-1000 and a wine aunt.","1533651876397 - 1533658858056.png"
"08/07/18(Tue)12:21:55","No ID","Anonymous","102127313","No Subject Text Provided","<a href=""#p102127290"" class=""quotelink"">&gt;&gt;102127290</a><br>The guy in the middle looks so fucking weird.","No File Posted"
"08/07/18(Tue)12:22:19","No ID","Anonymous","102127322","No Subject Text Provided","The Lesbinator","No File Posted"
"08/07/18(Tue)12:22:59","No ID","Anonymous","102127344","No Subject Text Provided","<a href=""#p102127290"" class=""quotelink"">&gt;&gt;102127290</a><br>So which timeline is this from?","No File Posted"
"08/07/18(Tue)12:23:18","No ID","Anonymous","102127355","No Subject Text Provided","<a href=""#p102127290"" class=""quotelink"">&gt;&gt;102127290</a>","&#039;snap&#039; yep this one&#039;s going in my ash compilation - 1533658998203.png"
"08/07/18(Tue)12:23:25","No ID","Anonymous","102127359","No Subject Text Provided","ENOUGH IS ENOUGH<br>IF THE TERMINATOR IS A FEMALE I&#039;M FINISHED","Murdoch - 1533659005571.jpg"
"08/07/18(Tue)12:23:47","No ID","Anonymous","102127368","No Subject Text Provided","<a href=""#p102127313"" class=""quotelink"">&gt;&gt;102127313</a><br>It&#039;s Dolph Lundgren&#039;s son. He&#039;s just a twink.","No File Posted"
"08/07/18(Tue)12:25:17","No ID","Anonymous","102127424","No Subject Text Provided","<a href=""#p102127359"" class=""quotelink"">&gt;&gt;102127359</a><br>Whats terminator 3","No File Posted"
"08/07/18(Tue)12:25:50","No ID","Anonymous","102127436","No Subject Text Provided","<a href=""#p102127344"" class=""quotelink"">&gt;&gt;102127344</a><br>the one where John Connor had a sex change and joined the antifa movement and wants to impeach Skynetrump.","No File Posted"
"08/07/18(Tue)12:26:49","No ID","Anonymous","102127474","No Subject Text Provided","<a href=""#p102127424"" class=""quotelink"">&gt;&gt;102127424</a><br>You&#039;re replying to an underaged zoomer who saw his first Terminator movie back in 2015.","No File Posted"
"08/07/18(Tue)12:26:54","No ID","Anonymous","102127477","No Subject Text Provided","<a href=""#p102127290"" class=""quotelink"">&gt;&gt;102127290</a><br>Strapped with monster cans","1533413899531 - 1533659214809.jpg"
"08/07/18(Tue)12:27:00","No ID","Anonymous","102127481","No Subject Text Provided","<a href=""#p102127290"" class=""quotelink"">&gt;&gt;102127290</a><br>Dylan Roof is looking weird these days","No File Posted"
"08/07/18(Tue)12:28:37","No ID","Anonymous","102127543","No Subject Text Provided","<a href=""#p102127290"" class=""quotelink"">&gt;&gt;102127290</a><br>Just remove the spic and it&#039;s passable","No File Posted"
"08/07/18(Tue)12:28:49","No ID","Anonymous","102127553","No Subject Text Provided","<a href=""#p102127474"" class=""quotelink"">&gt;&gt;102127474</a><br>Forgot about that. Thank you fellow boomer!","No File Posted"
"08/07/18(Tue)12:28:49","No ID","Anonymous","102127554","No Subject Text Provided","<a href=""#p102127290"" class=""quotelink"">&gt;&gt;102127290</a><br>What tactical advantage would a smoke grenade give you against a terminator?<br><br>The they canonically not have thermal vision capability?","No File Posted"
